Республика_Мордовия;Мордовия;Республика Мордовия;1330;256;164;1227;250;150;1083;176;131;991;157;119;869;138;104;757;121;90;670;46;79;552;25;64;493;25;57;444;;51;393;25;45;338;25;38;263;23;29;171;18;19;28;3;3;13;2;1;7;1;1;1;0;0;1;0;0;1;0;0;1;0;0
Республика_Саха;Саха (Якутия);Республика Саха (Якутия);1199;168;126;1115;160;117;976;118;102;902;110;94;814;76;85;716;60;75;645;46;67;552;23;58;506;21;53;455;;48;416;14;44;368;13;39;330;13;35;286;12;30;213;10;22;57;4;6;14;3;1;3;1;0;0;0;0;0;0;0;0;0;0
Республика_Северная_Осетия_—_Алания;Северная Осетия;Республика Северная Осетия — Алания;1230;135;175;1134;135;161;1009;130;142;916;130;129;836;124;117;740;123;104;668;123;94;542;14;76;509;14;72;418;;59;339;13;48;291;13;41;226;12;32;150;12;21;72;8;10;26;4;4;12;3;2;6;2;1;0;0;0;0;0;0;0;0;0
Республика_Татарстан;Татарстан;Республика Татарстан;16417;3424;428;15186;3399;397;13725;2562;361;12663;2280;334;11635;1892;307;10726;1872;284;9634;719;256;8399;303;223;7783;291;207;7147;;190;6350;81;168;5700;68;151;5045;59;133;3989;42;105;1350;17;36;319;9;8;46;4;1;26;4;1;11;3;0;6;3;0;6;3;0
Республика_Тыва;Тыва;Республика Тыва;94;14;30;75;13;24;66;9;21;58;9;19;48;2;16;38;2;12;33;2;11;25;2;8;24;2;8;18;;6;18;1;6;14;1;5;14;1;5;13;1;4;6;1;2;5;1;2;1;1;0;1;1;0;1;1;0;1;1;0;1;1;0
Республика_Хакасия;Хакасия;Республика Хакасия;747;98;140;651;88;122;534;72;100;457;59;86;381;37;72;323;35;61;259;2;49;179;2;34;163;2;31;148;;28;125;2;23;97;2;18;85;2;15;69;2;12;41;2;7;28;2;5;15;2;3;11;1;2;0;0;0;0;0;0;0;0;0
Ростовская_область;Ростовская область;Ростовская область;8466;1338;199;7648;1319;180;6829;775;160;6169;772;144;5577;760;130;4983;757;116;4426;756;103;3788;167;88;3477;149;80;3181;;73;2869;142;66;2644;140;60;2379;139;54;2148;136;48;1868;126;42;1559;117;35;1165;103;26;749;88;17;159;54;4;117;51;3;113;49;3
Рязанская_область;Рязанская область;Рязанская область;3767;1041;330;3431;1027;300;3080;906;268;2912;844;253;2760;756;238;2534;661;217;2344;459;200;2057;276;174;1933;274;163;1778;;148;1625;159;134;1493;157;122;1348;150;109;1155;141;92;817;110;64;270;36;21;10;4;1;9;4;1;7;4;1;6;3;0;6;3;0
Самарская_область;Самарская область;Самарская область;59312;10731;1847;55694;10578;1733;50843;7403;1582;47862;7395;1489;44073;5185;1368;40315;4774;1251;35690;2413;1108;30013;1593;931;27754;1575;860;25232;;782;21325;237;660;18888;236;584;16221;236;498;12441;218;380;4698;94;143;48;2;1;18;2;1;14;2;0;8;1;0;6;1;0;6;1;0
Санкт_Петербург;Санкт-Петербург;Санкт-Петербург;57009;6313;1111;54577;6274;1085;51552;2194;1041;49270;2173;1006;46402;2089;960;43255;1941;901;39806;1734;835;35315;1612;744;32888;430;698;29219;;623;25262;262;542;21845;191;469;18510;127;395;13880;80;294;4749;40;100;520;22;11;223;9;5;192;8;4;132;8;3;98;7;2;85;7;2
